portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type,snapshot_date
8,1,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,17.81999969482422,3.056790016,37.053125365448,0.8302486035305537,0.1262751043847486,-0.0571119585493251,0.4567378201956441,3.0,0.544924333598866,68.37121571309129,0.1907943774908614,0.0315217356375349,True,82,75,38,85,37,C,0,77.95,72.7,49.55,77.95,Acceleration,2026-06-28
9,4,AMBA,"Ambarella, Inc. - Ordinary Shares",Technology,Semiconductor Equipment & Materials,United States,半導体,62.130001068115234,2.725530368,110.43638754858016,0.3715338844715918,0.2578265054708267,-0.3291766141597009,0.5919242798859489,1.4730334683436368,0.0168231905835211,48.20459904091552,-0.133022982416501,0.3494922031359998,False,74,68,46,100,51,B,0,75.6,71.1,60.5,75.6,Acceleration,2026-06-28
1,1,ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,20.700000762939453,5.159632896,182.48199522573472,0.2972038888237084,0.3801595393585766,0.2331152140327365,0.6063465954557021,0.791582513518796,0.1310807143750282,53.73832556616061,0.0755146782085244,0.1801979895865563,True,36,49,97,85,85,S,0,48.25,58.0,91.6,91.6,Persistence,2026-07-05
2,2,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,53.790000915527344,7.189640704,87.7820540940857,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.2109122992765131,0.0861774508359726,60.94118660792129,-0.0309771314543238,0.1349884140424271,True,25,21,97,85,80,S,0,39.5,36.5,90.6,90.6,Persistence,2026-07-05
3,3,AROC,"Archrock, Inc. Common Stock",Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,36.790000915527344,6.44787456,86.13808469356538,0.2869986031335765,0.1688859448854278,0.1712091753708749,0.4857183897630449,0.6956306070097366,0.5566667678322784,52.50696793210477,-0.0082612357600974,0.1230035698109137,True,50,43,85,85,100,S,0,60.25,55.0,88.0,88.0,Persistence,2026-07-05
4,1,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware,United States,その他,539.0,185.783681024,5762.54602,0.5070444831407314,0.009912070343725,-0.6671633054860853,0.3878151260504202,2.63764404609475,0.3364519354377946,50.78540989629602,0.0178476913886079,0.2777025660890452,True,74,100,30,25,83,S,0,67.55,87.05,39.35,87.05,Transition,2026-07-05
5,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,73.75,5.680004096,31.03215625,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687516,0.8309852815411621,0.4101479002324941,57.69230840661707,0.0682219938348221,0.1337414591192849,True,86,64,82,85,85,S,0,85.75,69.25,83.35,85.75,Acceleration,2026-07-05
6,4,DEC,Diversified Energy Company Common Stock,Energy,Oil & Gas Integrated,United States,電力/エネルギー,14.300000190734863,1.00151296,19.00949075355053,1.0273928999636406,-0.0845629900583232,-0.5476257835338961,0.2855773198755162,0.6613408484129338,0.4907988527724045,56.70588847757487,-0.0223530642583017,0.2029937226595513,True,74,87,30,100,100,S,-5,75.5,85.25,56.5,85.25,Transition,2026-07-05
7,3,TE,T1 Energy Inc. Common Stock,Industrials,Electrical Equipment & Parts,United States,電力/エネルギー,8.5600004196167,2.390563328,309.48715757125854,3.0,,,0.0735884654340357,1.1084563968056649,0.39983951700595,50.653121810415016,0.0877853413832226,0.2890365077460295,True,47,83,26,100,68,A,0,57.05,84.05,52.9,84.05,Transition,2026-07-05
8,2,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,387.3599853515625,4.924990464,248.4158954058838,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.1542905678493613,82.22980760397746,0.3841245398861634,0.0,True,85,64,100,85,10,D,0,77.5,61.75,78.25,78.25,Persistence,2026-07-05
9,3,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,27.350000381469727,2.991723776,25.1256248504448,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,75.17985154935965,-0.0062711981304947,0.1495646607202779,True,73,75,25,100,65,A,0,76.25,77.75,51.75,77.75,Transition,2026-07-05
1,1,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,55.220001220703125,7.380776448,86.92843032165527,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.2109122992765131,0.0861774508359726,64.99602901113121,-0.0074269145939099,0.1119921914946256,True,25,21,97,85,80,S,0,39.5,36.5,90.6,90.6,Persistence,2026-07-12
2,2,MDB,"MongoDB, Inc. - Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,342.0799865722656,27.51415296,534.3614366246032,0.2279426826478499,0.1921746203679001,0.3107153982741971,0.7174856532417241,3.0,0.0087417740754614,53.12604231233368,0.0482222294337996,0.2236042173546939,True,57,42,97,65,100,S,0,62.5,51.25,89.6,89.6,Persistence,2026-07-12
3,3,DT,"Dynatrace, Inc. Common Stock",Technology,Software - Application,United States,ソフトウェア,43.68000030517578,12.731660288,253.65544017219543,0.1882069815262765,0.1874501059048045,0.2347802819089708,0.8155933426047631,0.2295914931365923,0.0372133681332057,58.49624668293506,0.0632911525935688,0.201608462143574,True,46,14,100,65,85,S,0,52.75,28.75,88.25,88.25,Persistence,2026-07-12
